item,length,width,height
item0,40,50,10
item1,40,202,10
item2,420,253,752
item3,292,220,58
item4,200,253,752
item5,40,628,340
item6,93,10,60
item7,120,250,60
item8,632,80,200
item9,752,150,80
item10,160,930,622
item11,460,618,22
item12,50,720,140
item13,110,20,550
item14,30,32,100
item15,10,90,110
item16,50,100,60
item17,203,10,282
item18,340,380,628
item19,253,20,210
item20,120,110,10
item21,542,93,20
item22,70,930,752
item23,80,150,90
item24,190,188,752
item25,80,540,90
item26,10,10,120
item27,440,10,10
item28,410,60,60
item29,200,30,10
item30,253,460,38
item31,140,50,32
item32,40,198,752
item33,90,80,60
item34,10,253,460
item35,170,253,742
item36,110,30,110
item37,100,60,170
item38,100,850,600
item39,10,30,440
item40,600,100,70
item41,100,30,32
item42,590,10,10
item43,60,198,752
item44,20,253,292
item45,20,250,60
item46,450,370,253
item47,253,10,460
item48,170,110,502
item49,243,250,10
item50,20,680,110
item51,622,420,80
item52,600,10,80
item53,170,50,10
item54,200,40,20
item55,130,32,200
item56,460,253,372
item57,58,282,33
item58,10,110,20
item59,130,470,430
item60,180,93,10
item61,50,410,40
item62,100,30,170
item63,110,30,20
item64,500,130,130
item65,120,240,60
item66,100,170,60
item67,628,380,460
item68,30,628,340
item69,80,80,90
item70,80,490,100
item71,170,40,100
item72,10,600,920
item73,110,60,40
item74,542,80,103
item75,30,0,600
item76,20,240,110
item77,440,110,40
item78,470,420,622
item79,20,60,90
item80,150,20,70
item81,920,440,622
item82,20,130,120
item83,10,200,40
item84,20,103,542
item85,20,200,30
item86,70,500,120
item87,40,70,440
item88,120,60,270
item89,170,60,110
item90,188,180,752
item91,20,60,150
item92,250,10,150
item93,80,552,620
item94,20,920,600
item95,10,110,130
item96,10,100,60
item97,103,130,210
item98,200,0,32
item99,10,50,50
