item,length,width,height
item0,730,240,30
item1,90,80,1479
item2,260,0,1479
item3,489,80,70
item4,640,70,370
item5,1479,100,270
item6,320,357,1157
item7,609,290,80
item8,1479,360,210
item9,1479,80,280
item10,120,80,70
item11,730,1239,40
item12,30,260,1479
item13,40,370,650
item14,40,1479,260
item15,1469,100,100
item16,90,220,370
item17,360,1479,140
item18,1469,110,80
item19,1087,1120,357
item20,30,370,220
item21,1479,410,427
item22,357,1147,29
item23,70,1130,347
item24,609,40,360
