item,length,width,height
item0,140,960,150
item1,362,30,170
item2,1070,72,150
item3,625,10,1182
item4,1030,80,510
item5,160,220,300
item6,30,50,940
item7,820,220,375
item8,744,20,130
item9,144,160,10
item10,10,10,60
item11,1190,160,20
item12,20,30,940
item13,510,70,1030
item14,60,20,40
item15,150,270,40
item16,160,40,1474
item17,1264,250,20
item18,90,1284,60
item19,90,60,84
item20,40,60,110
item21,10,50,1264
item22,140,10,60
item23,40,1170,20
item24,225,1182,170
item25,10,30,90
item26,10,50,10
item27,170,362,205
item28,40,144,160
item29,240,30,150
item30,30,582,174
item31,40,40,940
item32,360,274,10
item33,40,274,360
item34,274,50,240
item35,50,50,360
item36,140,50,30
item37,60,20,10
item38,140,360,240
item39,1182,100,400
item40,174,582,50
item41,1474,100,40
item42,30,130,520
item43,60,190,90
item44,40,650,20
item45,30,930,1264
item46,230,50,1264
item47,130,140,20
item48,240,274,10
item49,1264,140,362
item50,180,60,70
item51,274,30,50
item52,150,60,90
item53,60,70,44
item54,764,250,30
item55,960,140,210
item56,50,1264,10
item57,670,30,130
item58,80,582,404
item59,130,30,140
item60,10,60,150
item61,50,310,60
item62,20,500,250
item63,1190,30,30
item64,940,20,10
item65,30,40,90
item66,1264,220,630
item67,940,30,10
item68,274,30,10
item69,220,300,580
item70,235,362,1094
item71,60,50,50
item72,10,1170,40
item73,304,10,30
item74,250,22,1264
item75,220,130,744
item76,744,130,10
item77,30,30,304
item78,524,300,220
item79,500,10,250
item80,1070,582,10
item81,50,164,360
item82,375,1044,820
item83,10,10,10
item84,90,30,1474
item85,90,20,824
item86,400,1182,100
item87,230,582,80
item88,225,1182,30
item89,150,240,10
item90,150,60,60
item91,30,90,10
item92,50,70,1474
item93,520,130,250
item94,50,650,20
item95,30,130,60
item96,20,360,1200
item97,60,20,60
item98,30,1474,30
item99,10,1474,30
