item,length,width,height,x,y,z
item0,140,150,960,0,210,240
item1,30,362,170,550,820,210
item2,150,72,1070,10,1110,0
item3,625,1182,10,160,0,0
item4,80,510,1030,80,600,40
item5,220,300,160,160,810,790
item6,30,50,940,40,470,470
item7,375,820,220,410,0,210
item8,20,130,744,380,50,730
item9,160,10,144,0,450,1330
item10,10,60,10,150,460,0
item11,160,20,1190,0,440,0
item12,30,20,940,10,460,340
item13,70,510,1030,10,600,40
item14,40,60,20,0,460,1390
item15,150,270,40,10,600,0
item16,160,40,1474,0,560,0
item17,250,20,1264,160,30,210
item18,90,60,1284,70,460,190
item19,60,90,84,50,270,1390
item20,40,60,110,0,460,1280
item21,10,50,1264,160,1110,210
item22,140,60,10,10,460,0
item23,20,40,1170,130,520,0
item24,225,1182,170,560,0,40
item25,90,10,30,0,510,10
item26,10,50,10,0,460,0
item27,205,362,170,580,820,210
item28,160,40,144,0,410,1330
item29,150,240,30,10,870,0
item30,30,582,174,50,600,1300
item31,40,40,940,0,480,340
item32,10,360,274,150,0,1200
item33,40,360,274,110,0,1200
item34,50,240,274,60,0,1200
item35,50,360,50,0,0,1200
item36,30,50,140,130,410,1190
item37,10,60,20,0,460,1410
item38,140,360,240,0,0,0
item39,400,1182,100,160,0,10
item40,50,582,174,0,600,1300
item41,100,40,1474,0,520,0
item42,130,30,520,0,410,0
item43,60,90,190,50,270,1200
item44,40,20,650,70,360,0
item45,30,930,1264,380,180,210
item46,230,50,1264,180,1110,210
item47,130,20,140,0,440,1190
item48,10,240,274,50,0,1200
item49,140,362,1264,410,820,210
item50,70,60,180,90,460,10
item51,50,30,274,50,240,1200
item52,90,60,150,0,460,40
item53,70,60,44,0,460,1430
item54,250,30,764,160,0,710
item55,140,210,960,0,0,240
item56,10,50,1264,170,1110,210
item57,130,30,670,0,410,520
item58,80,582,404,80,600,1070
item59,130,30,140,0,410,1190
item60,10,60,150,0,460,190
item61,50,310,60,0,0,1250
item62,250,20,500,160,10,210
item63,30,30,1190,130,410,0
item64,10,20,940,0,460,340
item65,90,40,30,0,470,10
item66,220,630,1264,160,180,210
item67,30,10,940,40,460,470
item68,10,30,274,100,240,1200
item69,220,300,580,160,810,210
item70,235,362,1094,550,820,380
item71,50,50,60,0,310,1250
item72,10,40,1170,150,520,0
item73,30,10,304,130,550,1170
item74,250,22,1264,160,1160,210
item75,220,130,744,160,50,730
item76,10,130,744,400,50,730
item77,30,30,304,130,520,1170
item78,220,300,524,160,810,950
item79,250,10,500,160,0,210
item80,10,582,1070,0,600,0
item81,50,360,164,0,0,1310
item82,375,820,1044,410,0,430
item83,10,10,10,0,510,0
item84,90,30,1474,70,380,0
item85,90,20,824,70,360,650
item86,400,1182,100,160,0,110
item87,80,582,230,0,600,1070
item88,225,1182,30,560,0,10
item89,150,240,10,10,870,30
item90,60,60,150,10,460,190
item91,90,10,30,0,460,10
item92,70,50,1474,0,360,0
item93,250,130,520,160,50,210
item94,50,20,650,110,360,0
item95,30,60,130,40,460,340
item96,20,360,1200,140,0,0
item97,60,60,20,10,460,1410
item98,30,30,1474,100,520,0
item99,30,10,1474,100,550,0
