item,length,width,height,x,y,z
item0,40,50,10,460,930,1380
item1,202,40,10,550,930,1380
item2,752,253,420,0,930,960
item3,292,220,58,460,930,1410
item4,752,253,200,0,930,130
item5,340,40,628,0,0,840
item6,60,93,10,210,1090,1410
item7,120,250,60,0,410,0
item8,632,200,80,120,620,0
item9,752,150,80,0,930,0
item10,622,930,160,130,0,680
item11,22,460,618,730,0,840
item12,720,140,50,0,930,80
item13,20,550,110,20,10,60
item14,32,100,30,720,100,140
item15,110,10,90,0,0,60
item16,100,60,50,120,0,0
item17,282,203,10,460,980,1380
item18,340,380,628,0,70,840
item19,210,253,20,0,930,1410
item20,10,120,110,20,560,60
item21,542,93,20,210,1080,90
item22,752,930,70,0,0,170
item23,80,150,90,40,540,80
item24,752,190,188,0,640,1270
item25,80,540,90,120,200,80
item26,120,10,10,0,0,150
item27,440,10,10,220,120,0
item28,60,410,60,40,0,0
item29,10,200,30,710,0,0
item30,460,253,38,0,930,1430
item31,32,140,50,720,930,80
item32,752,40,198,0,890,1270
item33,90,60,80,120,0,90
item34,460,253,10,0,930,1390
item35,742,253,170,0,930,790
item36,110,110,30,0,690,140
item37,100,60,170,120,140,0
item38,100,850,600,0,10,240
item39,440,10,30,220,120,10
item40,100,70,600,0,860,240
item41,32,100,30,720,0,140
item42,10,10,590,0,0,240
item43,752,60,198,0,830,1270
item44,292,253,20,460,930,1390
item45,20,250,60,100,0,0
item46,370,253,450,0,930,330
item47,460,253,10,0,930,1380
item48,502,110,170,250,820,0
item49,250,243,10,210,930,1420
item50,20,680,110,0,10,60
item51,622,420,80,120,200,0
item52,80,10,600,40,0,240
item53,50,10,170,120,920,0
item54,40,200,20,660,0,0
item55,32,200,130,720,0,0
item56,372,253,460,370,930,330
item57,282,33,58,460,1150,1410
item58,20,10,110,100,40,60
item59,130,470,430,0,460,840
item60,180,93,10,270,1090,1410
item61,40,410,50,0,0,0
item62,100,30,170,120,60,0
item63,20,30,110,100,10,60
item64,500,130,130,220,0,40
item65,120,240,60,0,690,80
item66,60,100,170,120,820,0
item67,380,460,628,340,0,840
item68,340,30,628,0,40,840
item69,80,80,90,120,740,80
item70,80,490,100,40,50,60
item71,100,40,170,120,90,0
item72,10,920,600,120,10,240
item73,60,40,110,40,10,60
item74,542,103,80,210,1080,0
item75,30,0,600,10,0,240
item76,110,240,20,0,690,60
item77,440,110,40,220,0,0
item78,622,470,420,130,460,840
item79,90,60,20,120,0,70
item80,70,150,20,40,540,60
item81,622,920,440,130,0,240
item82,120,130,20,0,800,140
item83,10,200,40,700,0,0
item84,542,103,20,210,1080,110
item85,30,200,20,660,0,20
item86,500,70,120,220,130,40
item87,440,70,40,220,130,0
item88,120,270,60,0,660,0
item89,60,110,170,180,820,0
item90,752,180,188,0,460,1270
item91,20,150,60,100,260,0
item92,250,150,10,210,930,1410
item93,552,620,80,200,200,80
item94,20,920,600,100,10,240
item95,10,130,110,30,560,60
item96,100,60,10,120,0,60
item97,210,103,130,0,1080,0
item98,32,200,0,720,0,130
item99,50,50,10,500,930,1380
