item,length,width,height,x,y,z
item0,30,730,240,370,0,0
item1,90,80,1479,0,570,0
item2,260,0,1479,110,690,0
item3,80,70,489,290,40,990
item4,370,70,640,0,50,0
item5,270,100,1479,100,330,0
item6,357,1157,320,410,0,1130
item7,290,80,609,0,40,870
item8,360,210,1479,0,120,0
item9,280,80,1479,90,570,0
item10,70,80,120,290,40,870
item11,40,730,1239,370,0,240
item12,260,30,1479,110,700,0
item13,370,40,650,0,0,0
item14,260,40,1479,110,650,0
item15,100,100,1469,0,330,0
item16,370,90,220,0,0,650
item17,360,140,1479,0,430,0
item18,110,80,1469,0,650,0
item19,357,1087,1120,410,70,0
item20,370,30,220,0,90,650
item21,410,427,1479,0,730,0
item22,357,1147,29,410,0,1450
item23,347,70,1130,410,0,0
item24,360,40,609,0,0,870
