item,length,width,height,x,y,z
item0,540,370,135,210,0,80
item1,750,160,220,0,720,0
item2,70,550,35,0,0,180
item3,750,60,272,0,0,1180
item4,730,155,220,20,560,0
item5,10,160,180,0,560,40
item6,180,1175,420,570,0,220
item7,630,170,100,120,370,120
item8,750,1115,267,0,60,1180
item9,750,545,40,0,0,0
item10,750,295,220,0,880,0
item11,115,400,100,0,0,80
item12,180,1175,540,570,0,640
item13,750,150,25,0,400,40
item14,120,150,100,0,400,80
item15,750,400,30,0,0,40
item16,20,160,40,0,560,0
item17,750,10,220,0,550,0
item18,630,170,35,120,370,80
item19,565,1175,960,0,0,220
item20,10,160,175,10,560,40
item21,85,370,140,120,0,80
item22,750,550,10,0,0,70
item23,50,550,40,70,0,180
item24,630,10,140,120,540,80
